New_ID,Northing [m],Easting [m],latitude,longitude,snow_deploy_date,elevation,vegetation,melt_out_2022,melt_out_2023
Conifer_lower_1,4310809.969,328404.857,38.9294431,-106.97961,10/9/20,3180.149902,Evergreen Forest,5/27/22,6/6/23
ERT0,4310402.868,328428.311,38.9257813,-106.97924,10/11/21,3136.560059,Evergreen Forest,5/19/22,6/7/23
Aspen_lower_2,4310366.556,329145.18,38.9255942,-106.97096,10/9/20,3021.659912,Deciduous Forest,5/10/22,5/18/23
Conifer_upper,4311107.207,327883.265,38.9320179,-106.9857,10/11/21,3360.389893,Evergreen Forest,6/4/22,
ERT2,4310413.975,328380.814,38.9258721,-106.97979,10/11/21,3141.800049,Grassland/Herbaceous,5/11/22,5/23/23
SNI2,4310382.986,328655.203,38.9256466,-106.97662,10/11/21,3123.129883,Evergreen Forest,6/2/22,
ERT6,4310441.416,328280.071,38.9260995,-106.98095,10/11/21,3178.889893,Evergreen Forest,5/26/22,6/9/23
Conifer_upper_weather,4311155.18,327853.01,38.932444,-106.98606,10/11/21,3357.840088,Evergreen Forest,5/28/22,
ERTweather,4310456.929,328385.068,38.9262598,-106.97975,10/7/20,3146.040039,Shrub/Scrub,5/12/22,
ERT5,4310431.926,328327.921,38.9260234,-106.9804,10/11/21,3154.969971,Shrub/Scrub,5/12/22,5/26/23
ERT1,4310404.417,328417.405,38.9257932,-106.97936,10/11/21,3138.290039,Shrub/Scrub,5/14/22,5/29/23
ERTweather_1,4310455.756,328382.038,38.9262486,-106.97978,10/7/20,3146.040039,Shrub/Scrub,5/13/22,
Aspen_upper_1,4310885.896,328651.945,38.9301752,-106.97678,10/9/20,3105.300049,Deciduous Forest,5/22/22,6/4/23
Conifer_upper_1,4311119.515,327889.294,38.9321299,-106.98563,10/9/20,3358.909912,Evergreen Forest,6/3/22,6/18/23
ERT4,4310425.927,328340.09,38.9259718,-106.98026,10/11/21,3150.389893,Shrub/Scrub,5/14/22,5/30/23
ERT8,4310456.879,328227.218,38.9262284,-106.98157,10/11/21,3207.48999,Shrub/Scrub,5/11/22,5/23/23
Conifer_middle,4310596.795,327801.78,38.9274051,-106.98651,10/9/20,3273.340088,Evergreen Forest,6/7/22,6/25/23
ERT7,4310446.486,328262.741,38.9261418,-106.98116,10/11/21,3187.73999,Evergreen Forest,5/19/22,6/4/23